"nowotwor" "gen" "pvalue" "n_cancer"
"2592" "COADREAD" "FAT1" 0 2
"2604" "UCEC" "FAT1" 4.7e-05 2
"2606" "COADREAD" "FAT2" 4.4e-05 2
"2618" "UCEC" "FAT2" 0.002276 2
"2619" "BRCA" "FAT3" 0.000876 5
"2620" "COADREAD" "FAT3" 0 5
"2621" "GBM" "FAT3" 0.019487 5
"2622" "GBMLGG" "FAT3" 0.007353 5
"2628" "LUSC" "FAT3" 0.006834 5
"2634" "COADREAD" "FAT4" 1e-06 5
"2635" "GBM" "FAT4" 0.002164 5
"2636" "GBMLGG" "FAT4" 0.003832 5
"2640" "LGG" "FAT4" 0.039364 5
"2646" "UCEC" "FAT4" 0.000383 5
"2648" "COADREAD" "FBN1" 1e-06 2
"2659" "THCA" "FBN1" 0.003518 2
"2668" "LGG" "FBN2" 0.00968 2
"2674" "UCEC" "FBN2" 0.007822 2
"2688" "UCEC" "FCGBP" 0.010355 1
"2697" "LUAD" "FILIP1" 0 3
"2699" "OV" "FILIP1" 0 3
"2702" "UCEC" "FILIP1" 0.038156 3
"2704" "COADREAD" "FLG" 0 4
"2706" "GBMLGG" "FLG" 0.00016 4
"2707" "HNSC" "FLG" 0.037448 4
"2710" "LGG" "FLG" 3e-06 4
"2718" "COADREAD" "FLG2" 2.6e-05 3
"2727" "OV" "FLG2" 0 3
"2730" "UCEC" "FLG2" 0.031854 3
"2732" "COADREAD" "FLNB" 0.000469 5
"2737" "KIRC" "FLNB" 0.003723 5
"2739" "LUAD" "FLNB" 0 5
"2741" "OV" "FLNB" 0 5
"2744" "UCEC" "FLNB" 0.048915 5
"2746" "COADREAD" "FN1" 0 1
"2760" "COADREAD" "FNDC1" 0.001977 4
"2762" "GBMLGG" "FNDC1" 0.001222 4
"2766" "LGG" "FNDC1" 0 4
"2772" "UCEC" "FNDC1" 0.016496 4
"2777" "HNSC" "FRAS1" 0.00336 2
"2786" "UCEC" "FRAS1" 0.014893 2
"2789" "GBM" "FREM1" 0.001759 4
"2790" "GBMLGG" "FREM1" 2.1e-05 4
"2797" "OV" "FREM1" 0 4
"2800" "UCEC" "FREM1" 0.03026 4
"2802" "COADREAD" "FREM2" 0.00174 2
"2814" "UCEC" "FREM2" 0.01684 2
"2823" "LUAD" "FREM3" 0 3
"2825" "OV" "FREM3" 0 3
"2828" "UCEC" "FREM3" 0.045429 3
"2832" "GBMLGG" "FRG1B" 0.00123 2
"2834" "KIPAN" "FRG1B" 0.001358 2
"2844" "COADREAD" "FRY" 0.036475 3
"2853" "OV" "FRY" 0 3
"2856" "UCEC" "FRY" 0.027848 3
"2857" "BRCA" "FSIP2" 0.015771 4
"2858" "COADREAD" "FSIP2" 9e-06 4
"2867" "OV" "FSIP2" 0 4
"2870" "UCEC" "FSIP2" 0.024798 4
"2881" "OV" "GAPVD1" 0 2
"2884" "UCEC" "GAPVD1" 0.025168 2
"2886" "COADREAD" "GOLGB1" 0.000366 3
"2895" "OV" "GOLGB1" 0 3
"2898" "UCEC" "GOLGB1" 0.028593 3
"2900" "COADREAD" "GPR112" 1e-06 5
"2902" "GBMLGG" "GPR112" 0.022407 5
"2903" "HNSC" "GPR112" 0.009493 5
"2906" "LGG" "GPR112" 0 5
"2912" "UCEC" "GPR112" 0.000139 5
"2914" "COADREAD" "GPR158" 0.000233 2
"2926" "UCEC" "GPR158" 0.015894 2
"2929" "GBM" "GPR179" 0 4
"2930" "GBMLGG" "GPR179" 0 4
"2937" "OV" "GPR179" 0 4
"2940" "UCEC" "GPR179" 0.034826 4
"2942" "COADREAD" "GPR98" 1e-06 5
"2944" "GBMLGG" "GPR98" 0.01241 5
"2949" "LUAD" "GPR98" 0.029388 5
"2953" "THCA" "GPR98" 0.047926 5
"2954" "UCEC" "GPR98" 0.009043 5
"2955" "BRCA" "GPRASP1" 0.000311 4
"2960" "KIPAN" "GPRASP1" 0.042487 4
"2965" "OV" "GPRASP1" 0 4
"2968" "UCEC" "GPRASP1" 0.03593 4
"2970" "COADREAD" "GRIN2A" 0.009948 1
"2984" "COADREAD" "GRIN2B" 2.5e-05 3
"2993" "OV" "GRIN2B" 0 3
"2996" "UCEC" "GRIN2B" 0.026478 3
"3007" "OV" "GRM5" 0 2
"3010" "UCEC" "GRM5" 0.02845 2
"3014" "GBMLGG" "HCN1" 0.039186 2
"3019" "LUAD" "HCN1" 0.011641 2
"3035" "OV" "HEATR1" 0 2
"3038" "UCEC" "HEATR1" 0.033394 2
"3042" "GBMLGG" "HEATR7B2" 0.015343 2
"3052" "UCEC" "HEATR7B2" 0.014839 2
"3054" "COADREAD" "HECW2" 8.1e-05 4
"3061" "LUAD" "HECW2" 0.016319 4
"3063" "OV" "HECW2" 0 4
"3066" "UCEC" "HECW2" 0.026121 4
"3068" "COADREAD" "HEPH" 0.002033 4
"3076" "LUSC" "HEPH" 0.02475 4
"3077" "OV" "HEPH" 0 4
"3080" "UCEC" "HEPH" 0.029458 4
"3082" "COADREAD" "HERC1" 0 3
"3086" "KIPAN" "HERC1" 0.010563 3
"3094" "UCEC" "HERC1" 0.005164 3
"3099" "HNSC" "HERC2" 0.024503 2
"3108" "UCEC" "HERC2" 0.001986 2
"3119" "OV" "HFM1" 0 2
"3122" "UCEC" "HFM1" 0.027531 2
"3124" "COADREAD" "HIVEP1" 0 2
"3136" "UCEC" "HIVEP1" 0.013924 2
"3137" "BRCA" "HMCN1" 0.04163 4
"3140" "GBMLGG" "HMCN1" 0.020986 4
"3147" "OV" "HMCN1" 0.038687 4
"3150" "UCEC" "HMCN1" 0.001164 4
"3152" "COADREAD" "HRNR" 0.000131 4
"3159" "LUAD" "HRNR" 0 4
"3161" "OV" "HRNR" 0 4
"3164" "UCEC" "HRNR" 0.043539 4
"3165" "BRCA" "HUWE1" 0.020991 3
"3172" "LGG" "HUWE1" 1e-06 3
"3178" "UCEC" "HUWE1" 0.000244 3
"3180" "COADREAD" "HYDIN" 0 6
"3181" "GBM" "HYDIN" 0.00984 6
"3182" "GBMLGG" "HYDIN" 1.8e-05 6
"3188" "LUSC" "HYDIN" 0.027244 6
"3191" "THCA" "HYDIN" 0.001494 6
"3192" "UCEC" "HYDIN" 0.000857 6
"3195" "GBM" "IDH1" 0.004823 3
"3196" "GBMLGG" "IDH1" 0 3
"3200" "LGG" "IDH1" 0.042601 3
"3211" "HNSC" "IGF2R" 0.03983 4
"3217" "OV" "IGF2R" 0 4
"3219" "THCA" "IGF2R" 0.004907 4
"3220" "UCEC" "IGF2R" 0.033952 4
"3222" "COADREAD" "IGSF1" 0.003715 3
"3231" "OV" "IGSF1" 0 3
"3234" "UCEC" "IGSF1" 0.03102 3
"3236" "COADREAD" "IGSF10" 0 5
"3237" "GBM" "IGSF10" 0.00259 5
"3243" "LUAD" "IGSF10" 0 5
"3245" "OV" "IGSF10" 0 5
"3248" "UCEC" "IGSF10" 0.041409 5
"3250" "COADREAD" "IQGAP2" 0.032258 3
"3259" "OV" "IQGAP2" 0 3
"3262" "UCEC" "IQGAP2" 0.035085 3
"3273" "OV" "ITGAM" 0 2
"3276" "UCEC" "ITGAM" 0.035348 2
"3278" "COADREAD" "ITPR1" 1e-06 2
"3290" "UCEC" "ITPR1" 0.0052 2
"3291" "BRCA" "ITPR2" 0.000958 4
"3292" "COADREAD" "ITPR2" 0.000511 4
"3300" "LUSC" "ITPR2" 0.026971 4
"3304" "UCEC" "ITPR2" 0.01302 4
"3315" "OV" "JMJD1C" 0 2
"3318" "UCEC" "JMJD1C" 0.026631 2
"3320" "COADREAD" "KALRN" 0.000762 1
"3334" "COADREAD" "KANK1" 2e-06 2
"3344" "STES" "KANK1" 0.038088 2
"3357" "OV" "KAT6A" 0 2
"3360" "UCEC" "KAT6A" 0.028122 2
"3364" "GBMLGG" "KCNA5" 0.005903 2
"3372" "STES" "KCNA5" 0.006833 2
"3376" "COADREAD" "KCNQ3" 0 2
"3386" "STES" "KCNQ3" 0.014201 2
"3396" "LGG" "KCNT2" 0.001953 4
"3397" "LUAD" "KCNT2" 0 4
"3399" "OV" "KCNT2" 0 4
"3402" "UCEC" "KCNT2" 0.040918 4
"3407" "HNSC" "KIAA0947" 8.2e-05 2
"3416" "UCEC" "KIAA0947" 0.00914 2
"3418" "COADREAD" "KIAA1109" 0.025556 2
"3430" "UCEC" "KIAA1109" 0.027739 2
"3432" "COADREAD" "KIAA1210" 0.009799 3
"3441" "OV" "KIAA1210" 0 3
"3444" "UCEC" "KIAA1210" 0.029429 3
"3446" "COADREAD" "KIAA1409" 0 1
"3460" "COADREAD" "KIAA2026" 0 4
"3461" "GBM" "KIAA2026" 0.028188 4
"3462" "GBMLGG" "KIAA2026" 0.001157 4
"3472" "UCEC" "KIAA2026" 0.017464 4
"3481" "LUAD" "KIF14" 0 3
"3483" "OV" "KIF14" 0 3
"3486" "UCEC" "KIF14" 0.047546 3
"3491" "HNSC" "KIF16B" 0.006126 4
"3496" "LUSC" "KIF16B" 0.004765 4
"3497" "OV" "KIF16B" 0 4
"3500" "UCEC" "KIF16B" 0.033667 4
"3502" "COADREAD" "KIF20B" 0.027106 2
"3514" "UCEC" "KIF20B" 0.010256 2
"3516" "COADREAD" "KIF21A" 0 3
"3525" "OV" "KIF21A" 0 3
"3528" "UCEC" "KIF21A" 0.031726 3
"3539" "OV" "KIRREL" 0 2
"3542" "UCEC" "KIRREL" 0.037138 2
"3553" "OV" "KRAS" 0 2
"3556" "UCEC" "KRAS" 0.031 2
"3559" "GBM" "LAMA1" 0.010674 4
"3560" "GBMLGG" "LAMA1" 1.2e-05 4
"3564" "LGG" "LAMA1" 0.029058 4
"3570" "UCEC" "LAMA1" 0.015255 4
"3571" "BRCA" "LAMA2" 0.037847 4
"3573" "GBM" "LAMA2" 0.007382 4
"3579" "LUAD" "LAMA2" 0.008672 4
"3584" "UCEC" "LAMA2" 0.022058 4
"3598" "UCEC" "LAMB4" 0.016018 1
"3600" "COADREAD" "LIFR" 0 3
"3609" "OV" "LIFR" 0 3
"3612" "UCEC" "LIFR" 0.028041 3
"3626" "UCEC" "LOC100287226" 0.006835 1
"3640" "UCEC" "LOC643677" 6.8e-05 1
"3646" "KIPAN" "LOXHD1" 0.000609 4
"3647" "KIRC" "LOXHD1" 0.011008 4
"3651" "OV" "LOXHD1" 0 4
"3654" "UCEC" "LOXHD1" 0.028601 4
"3656" "COADREAD" "LRBA" 0.0012 3
"3665" "OV" "LRBA" 0 3
"3668" "UCEC" "LRBA" 0.031101 3
"3677" "LUAD" "LRP1" 0 5
"3678" "LUSC" "LRP1" 0.000546 5
"3679" "OV" "LRP1" 0 5
"3681" "THCA" "LRP1" 0 5
"3682" "UCEC" "LRP1" 0.043165 5
"3684" "COADREAD" "LRP1B" 0 3
"3686" "GBMLGG" "LRP1B" 0.021773 3
"3696" "UCEC" "LRP1B" 0.000289 3
"3698" "COADREAD" "LRP2" 0.000618 2
"3710" "UCEC" "LRP2" 4.6e-05 2
"3712" "COADREAD" "LRP6" 0.017303 4
"3719" "LUAD" "LRP6" 0 4
"3721" "OV" "LRP6" 0 4
"3724" "UCEC" "LRP6" 0.038971 4
"3726" "COADREAD" "LRRC7" 0.00867 3
"3735" "OV" "LRRC7" 0 3
"3738" "UCEC" "LRRC7" 0.026309 3
"3740" "COADREAD" "LRRIQ1" 0 4
"3743" "HNSC" "LRRIQ1" 0.001725 4
"3749" "OV" "LRRIQ1" 0 4
"3752" "UCEC" "LRRIQ1" 0.030475 4
"3761" "LUAD" "LRRK1" 0 4
"3762" "LUSC" "LRRK1" 0.01934 4
"3763" "OV" "LRRK1" 0 4
"3766" "UCEC" "LRRK1" 0.03754 4
"3767" "BRCA" "LRRK2" 0.012149 4
"3768" "COADREAD" "LRRK2" 0.043884 4
"3777" "OV" "LRRK2" 0.022819 4
"3780" "UCEC" "LRRK2" 0.002839 4
"3781" "BRCA" "LYST" 0.03918 5
"3782" "COADREAD" "LYST" 0.025361 5
"3784" "GBMLGG" "LYST" 0.024708 5
"3788" "LGG" "LYST" 0 5
"3794" "UCEC" "LYST" 0.007978 5
"3802" "LGG" "MACF1" 0.002778 2
"3808" "UCEC" "MACF1" 9.6e-05 2
"3810" "COADREAD" "MAGEC1" 0.036161 4
"3817" "LUAD" "MAGEC1" 0 4
"3819" "OV" "MAGEC1" 0 4
"3822" "UCEC" "MAGEC1" 0.038532 4
"3833" "OV" "MAGI1" 0 2
"3836" "UCEC" "MAGI1" 0.026322 2
"3838" "COADREAD" "MAGI2" 5e-06 3
"3846" "LUSC" "MAGI2" 0.039448 3
"3850" "UCEC" "MAGI2" 0.022968 3
"3864" "UCEC" "MAP1A" 0.022257 1
"3866" "COADREAD" "MAP2" 0 3
"3868" "GBMLGG" "MAP2" 0.014208 3
"3878" "UCEC" "MAP2" 0.025268 3
"3884" "KIPAN" "MAP3K1" 0.023347 2
"3892" "UCEC" "MAP3K1" 0.016789 2
"3894" "COADREAD" "MAP3K5" 0.003417 2
"3906" "UCEC" "MAP3K5" 0.016302 2
"3908" "COADREAD" "MAP7D2" 0.006133 7
"3910" "GBMLGG" "MAP7D2" 0.033389 7
"3914" "LGG" "MAP7D2" 0 7
"3915" "LUAD" "MAP7D2" 0 7
"3917" "OV" "MAP7D2" 0 7
"3918" "STES" "MAP7D2" 0 7
"3920" "UCEC" "MAP7D2" 0.048803 7
"3922" "COADREAD" "MBD6" 3e-06 2
"3932" "STES" "MBD6" 0.020825 2
"3936" "COADREAD" "MCF2" 0.034421 4
"3943" "LUAD" "MCF2" 0 4
"3945" "OV" "MCF2" 0 4
"3948" "UCEC" "MCF2" 0.047058 4
"3950" "COADREAD" "MCF2L2" 0.006003 5
"3951" "GBM" "MCF2L2" 1.1e-05 5
"3952" "GBMLGG" "MCF2L2" 0 5
"3959" "OV" "MCF2L2" 0 5
"3962" "UCEC" "MCF2L2" 0.034302 5
"3964" "COADREAD" "MDN1" 0 2
"3976" "UCEC" "MDN1" 0.022388 2
"3980" "GBMLGG" "MED12" 0.036522 4
"3982" "KIPAN" "MED12" 0.003795 4
"3984" "LGG" "MED12" 0.000159 4
"3990" "UCEC" "MED12" 0.018492 4
"3993" "GBM" "MED13" 2e-06 5
"3994" "GBMLGG" "MED13" 0 5
"3998" "LGG" "MED13" 0 5
"4001" "OV" "MED13" 0 5
"4004" "UCEC" "MED13" 0.029889 5
"4006" "COADREAD" "MED13L" 4.3e-05 3
"4014" "LUSC" "MED13L" 0.007972 3
"4018" "UCEC" "MED13L" 0.013856 3
"4028" "LUSC" "MED14" 0.002475 3
"4029" "OV" "MED14" 0 3
"4032" "UCEC" "MED14" 0.025858 3
"4043" "OV" "MGA" 0 2
"4046" "UCEC" "MGA" 0.033888 2
"4048" "COADREAD" "MGAM" 0.006259 4
"4050" "GBMLGG" "MGAM" 0.007035 4
"4054" "LGG" "MGAM" 0.015461 4
"4060" "UCEC" "MGAM" 0.008827 4
"4074" "UCEC" "MIA3" 0.022371 1
"4088" "UCEC" "MKI67" 0.002332 1
"4102" "UCEC" "MLL" 0.014472 1
"4114" "STES" "MLL2" 0.013748 2
"4116" "UCEC" "MLL2" 0.03295 2
"4118" "COADREAD" "MLL3" 1e-06 3
"4120" "GBMLGG" "MLL3" 0.034906 3
"4130" "UCEC" "MLL3" 0.001367 3
"4135" "HNSC" "MLL4" 0.001083 3
"4140" "LUSC" "MLL4" 0.015824 3
"4144" "UCEC" "MLL4" 0.006699 3
"4147" "GBM" "MON2" 0.003683 5
"4153" "LUAD" "MON2" 0 5
"4154" "LUSC" "MON2" 0.016995 5
"4155" "OV" "MON2" 0 5
"4158" "UCEC" "MON2" 0.042021 5
"4160" "COADREAD" "MORC4" 0 3
"4169" "OV" "MORC4" 0 3
"4172" "UCEC" "MORC4" 0.034006 3
"4176" "GBMLGG" "MPDZ" 0.015981 4
"4180" "LGG" "MPDZ" 2.2e-05 4
"4183" "OV" "MPDZ" 0 4
"4186" "UCEC" "MPDZ" 0.034351 4
"4189" "GBM" "MSH4" 0.005163 3
"4190" "GBMLGG" "MSH4" 2.8e-05 3
"4200" "UCEC" "MSH4" 0.018942 3
"4202" "COADREAD" "MSH6" 2e-06 5
"4204" "GBMLGG" "MSH6" 0.027705 5
"4209" "LUAD" "MSH6" 0 5
"4211" "OV" "MSH6" 0 5
"4214" "UCEC" "MSH6" 0.038308 5
"4216" "COADREAD" "MTOR" 0.000169 4
"4217" "GBM" "MTOR" 0.001759 4
"4220" "KIPAN" "MTOR" 0.023686 4
"4228" "UCEC" "MTOR" 0.021783 4
"4230" "COADREAD" "MTR" 8.1e-05 2
"4240" "STES" "MTR" 0.00184 2
"4244" "COADREAD" "MUC16" 0 4
"4245" "GBM" "MUC16" 0.00188 4
"4246" "GBMLGG" "MUC16" 3.4e-05 4
"4256" "UCEC" "MUC16" 3.1e-05 4
"4258" "COADREAD" "MUC17" 0.004779 3
"4260" "GBMLGG" "MUC17" 0.000833 3
"4270" "UCEC" "MUC17" 0.004309 3
"4276" "KIPAN" "MUC4" 0.025261 2
"4284" "UCEC" "MUC4" 0.026016 2
"4289" "HNSC" "MUC5B" 0.004436 2
"4298" "UCEC" "MUC5B" 0.000441 2
"4300" "COADREAD" "MUC6" 0 3
"4304" "KIPAN" "MUC6" 0.003189 3
"4309" "OV" "MUC6" 2e-06 3
"4316" "GBMLGG" "MXRA5" 0.023646 6
"4320" "LGG" "MXRA5" 0.042503 6
"4321" "LUAD" "MXRA5" 0 6
"4322" "LUSC" "MXRA5" 0.014052 6
"4323" "OV" "MXRA5" 0 6
"4326" "UCEC" "MXRA5" 0.04086 6
"4334" "LGG" "MYH11" 0.004282 2
"4340" "UCEC" "MYH11" 0.012014 2
"4342" "COADREAD" "MYH2" 0 2
"4354" "UCEC" "MYH2" 0.01071 2
"4356" "COADREAD" "MYH3" 0 4
"4362" "LGG" "MYH3" 0.015858 4
"4365" "OV" "MYH3" 0 4
"4368" "UCEC" "MYH3" 0.026599 4
"4379" "OV" "MYH6" 0 2
"4382" "UCEC" "MYH6" 0.029633 2
"4384" "COADREAD" "MYH7" 0.000164 5
"4385" "GBM" "MYH7" 0.003272 5
"4386" "GBMLGG" "MYH7" 1.8e-05 5
"4395" "THCA" "MYH7" 3e-06 5
"4396" "UCEC" "MYH7" 0.017296 5
"4407" "OV" "MYH8" 0 2
"4410" "UCEC" "MYH8" 0.026491 2
"4415" "HNSC" "MYO10" 0.049312 2
"4424" "UCEC" "MYO10" 0.014704 2
"4428" "GBMLGG" "MYO15A" 0.038217 5
"4429" "HNSC" "MYO15A" 0.000525 5
"4433" "LUAD" "MYO15A" 0 5
"4435" "OV" "MYO15A" 0 5
"4438" "UCEC" "MYO15A" 0.03941 5
"4440" "COADREAD" "MYO16" 0.000493 3
"4443" "HNSC" "MYO16" 0.00694 3
"4452" "UCEC" "MYO16" 0.009228 3
"4454" "COADREAD" "MYO18B" 0.01548 3
"4465" "THCA" "MYO18B" 0.000639 3
"4466" "UCEC" "MYO18B" 0.007586 3
"4468" "COADREAD" "MYO9A" 7.3e-05 3
"4477" "OV" "MYO9A" 0 3
"4480" "UCEC" "MYO9A" 0.034663 3
"4494" "UCEC" "MYOM2" 0.014286 1
"4502" "LGG" "MYT1L" 5.8e-05 3
"4503" "LUAD" "MYT1L" 0.047845 3
"4508" "UCEC" "MYT1L" 0.018621 3
"4509" "BRCA" "NALCN" 0.016137 4
"4512" "GBMLGG" "NALCN" 0.005663 4
"4518" "LUSC" "NALCN" 0.014923 4
"4522" "UCEC" "NALCN" 0.010912 4
"4525" "GBM" "NAV3" 0.013242 3
"4533" "OV" "NAV3" 0 3
"4536" "UCEC" "NAV3" 0.035088 3
"4538" "COADREAD" "NBEA" 0 3
"4539" "GBM" "NBEA" 0.005594 3
"4550" "UCEC" "NBEA" 0.001706 3
"4551" "BRCA" "NBEAL1" 8e-06 7
"4552" "COADREAD" "NBEAL1" 0.004853 7
"4553" "GBM" "NBEAL1" 0.031922 7
"4554" "GBMLGG" "NBEAL1" 0.036029 7
"4556" "KIPAN" "NBEAL1" 0.044576 7
"4561" "OV" "NBEAL1" 0 7
"4564" "UCEC" "NBEAL1" 0.029816 7
"4566" "COADREAD" "NCAM2" 0.000784 2
"4578" "UCEC" "NCAM2" 0.018679 2
"4589" "OV" "NCOR1" 0 2
"4592" "UCEC" "NCOR1" 0.030712 2
"4594" "COADREAD" "NEB" 0 2
"4606" "UCEC" "NEB" 0.000496 2
"4608" "COADREAD" "NELL1" 0.009961 2
"4615" "LUAD" "NELL1" 0.009711 2
"4622" "COADREAD" "NF1" 3.2e-05 4
"4624" "GBMLGG" "NF1" 0.002405 4
"4628" "LGG" "NF1" 4e-06 4
"4634" "UCEC" "NF1" 0.01037 4
"4636" "COADREAD" "NFASC" 0.000959 4
"4643" "LUAD" "NFASC" 0 4
"4645" "OV" "NFASC" 0 4
"4648" "UCEC" "NFASC" 0.045405 4
"4649" "BRCA" "NID1" 0.012629 6
"4650" "COADREAD" "NID1" 0.041368 6
"4651" "GBM" "NID1" 0.007345 6
"4654" "KIPAN" "NID1" 0.002276 6
"4659" "OV" "NID1" 0 6
"4662" "UCEC" "NID1" 0.027059 6
"4668" "KIPAN" "NOS1" 0.001957 6
"4669" "KIRC" "NOS1" 0.012147 6
"4670" "LGG" "NOS1" 0.00448 6
"4671" "LUAD" "NOS1" 0 6
"4673" "OV" "NOS1" 0 6
"4676" "UCEC" "NOS1" 0.047513 6
"4687" "OV" "NRG1" 0 2
"4690" "UCEC" "NRG1" 0.031193 2
"4695" "HNSC" "NRK" 0.008292 3
"4701" "OV" "NRK" 0 3
"4704" "UCEC" "NRK" 0.028038 3
"4713" "LUAD" "NRXN1" 0 3
"4715" "OV" "NRXN1" 0 3
"4718" "UCEC" "NRXN1" 0.04167 3
"4720" "COADREAD" "NRXN3" 0.038968 4
"4728" "LUSC" "NRXN3" 0.045156 4
"4729" "OV" "NRXN3" 0 4
"4732" "UCEC" "NRXN3" 0.029159 4
"4734" "COADREAD" "NWD1" 0.000508 3
"4743" "OV" "NWD1" 0 3
"4746" "UCEC" "NWD1" 0.02446 3
"4755" "LUAD" "NYNRIN" 0 3
"4757" "OV" "NYNRIN" 0 3
"4760" "UCEC" "NYNRIN" 0.039605 3
"4762" "COADREAD" "OBSCN" 1.9e-05 2
"4774" "UCEC" "OBSCN" 0.003395 2
"4776" "COADREAD" "ODZ1" 7e-05 3
"4784" "LUSC" "ODZ1" 0.001845 3
"4788" "UCEC" "ODZ1" 0.040614 3
"4790" "COADREAD" "ODZ2" 0 5
"4792" "GBMLGG" "ODZ2" 0.029449 5
"4797" "LUAD" "ODZ2" 0.041577 5
"4798" "LUSC" "ODZ2" 0.000769 5
"4802" "UCEC" "ODZ2" 0.026632 5
"4804" "COADREAD" "ODZ3" 1e-06 6
"4806" "GBMLGG" "ODZ3" 0.005855 6
"4808" "KIPAN" "ODZ3" 0.000707 6
"4809" "KIRC" "ODZ3" 0.005735 6
"4813" "OV" "ODZ3" 0.001392 6
"4816" "UCEC" "ODZ3" 0.002667 6
"4817" "BRCA" "ODZ4" 0.023823 5
"4818" "COADREAD" "ODZ4" 0.000552 5
"4820" "GBMLGG" "ODZ4" 0.041208 5
"4822" "KIPAN" "ODZ4" 0.01836 5
"4830" "UCEC" "ODZ4" 0.009388 5
"4839" "LUAD" "OTOF" 0 3
"4841" "OV" "OTOF" 0 3
"4844" "UCEC" "OTOF" 0.041245 3
"4858" "UCEC" "OTOGL" 0.004745 1
"4864" "KIPAN" "PAPPA" 0.004441 5
"4865" "KIRC" "PAPPA" 8e-06 5
"4867" "LUAD" "PAPPA" 0 5
"4869" "OV" "PAPPA" 0 5
"4872" "UCEC" "PAPPA" 0.045414 5
"4874" "COADREAD" "PCDH11X" 1e-06 8
"4875" "GBM" "PCDH11X" 0.019039 8
"4876" "GBMLGG" "PCDH11X" 1e-06 8
"4879" "KIRC" "PCDH11X" 0.005839 8
"4880" "LGG" "PCDH11X" 0 8
"4881" "LUAD" "PCDH11X" 0 8
"4883" "OV" "PCDH11X" 0 8
"4886" "UCEC" "PCDH11X" 0.039547 8
"4887" "BRCA" "PCDH15" 0.011979 4
"4889" "GBM" "PCDH15" 0.013299 4
"4897" "OV" "PCDH15" 0.045901 4
"4900" "UCEC" "PCDH15" 0.003206 4
"4911" "OV" "PCDH17" 0.003132 2
"4914" "UCEC" "PCDH17" 0.011123 2
"4916" "COADREAD" "PCDH19" 0.016056 4
"4924" "LUSC" "PCDH19" 0.045246 4
"4925" "OV" "PCDH19" 0.041524 4
"4928" "UCEC" "PCDH19" 0.017727 4
"4937" "LUAD" "PCDHA7" 0 3
"4939" "OV" "PCDHA7" 0 3
"4942" "UCEC" "PCDHA7" 0.046321 3
"4944" "COADREAD" "PCDHA8" 0 4
"4951" "LUAD" "PCDHA8" 0 4
"4953" "OV" "PCDHA8" 0 4
"4956" "UCEC" "PCDHA8" 0.037442 4
"4958" "COADREAD" "PCDHB5" 1.4e-05 5
"4960" "GBMLGG" "PCDHB5" 0.032002 5
"4962" "KIPAN" "PCDHB5" 0.007278 5
"4967" "OV" "PCDHB5" 0 5
"4970" "UCEC" "PCDHB5" 0.035471 5
"4974" "GBMLGG" "PCDHGA12" 0.014563 4
"4979" "LUAD" "PCDHGA12" 0 4
"4981" "OV" "PCDHGA12" 0 4
"4984" "UCEC" "PCDHGA12" 0.04258 4
"4986" "COADREAD" "PCDHGA5" 0.006623 4
"4993" "LUAD" "PCDHGA5" 0 4
"4995" "OV" "PCDHGA5" 0 4
"4998" "UCEC" "PCDHGA5" 0.049189 4
"5000" "COADREAD" "PCDHGB1" 0.022053 3
"5009" "OV" "PCDHGB1" 0 3
"5012" "UCEC" "PCDHGB1" 0.025704 3
"5014" "COADREAD" "PCLO" 0 3
"5016" "GBMLGG" "PCLO" 0.016823 3
"5026" "UCEC" "PCLO" 0.00051 3
"5040" "UCEC" "PDE4DIP" 0.004985 1
"5042" "COADREAD" "PDGFRA" 0 4
"5044" "GBMLGG" "PDGFRA" 0.001793 4
"5051" "OV" "PDGFRA" 0 4
"5054" "UCEC" "PDGFRA" 0.033097 4
"5063" "LUAD" "PDZD2" 0 3
"5065" "OV" "PDZD2" 0 3
"5068" "UCEC" "PDZD2" 0.043791 3
"5074" "KIPAN" "PDZRN4" 0.048795 2
"5082" "UCEC" "PDZRN4" 0.021372 2
"5086" "GBMLGG" "PEG3" 0.004006 3
"5090" "LGG" "PEG3" 5e-06 3
"5096" "UCEC" "PEG3" 0.013835 3
"5098" "COADREAD" "PHF3" 0 3
"5107" "OV" "PHF3" 0 3
"5110" "UCEC" "PHF3" 0.030747 3
"5112" "COADREAD" "PHLDB2" 0.005266 4
"5121" "OV" "PHLDB2" 0 4
"5123" "THCA" "PHLDB2" 0.029338 4
"5124" "UCEC" "PHLDB2" 0.037083 4
"5125" "BRCA" "PIK3CA" 0.038276 3
"5126" "COADREAD" "PIK3CA" 0 3
"5138" "UCEC" "PIK3CA" 0.001046 3
"5144" "KIPAN" "PIK3CG" 0.001525 6
"5145" "KIRC" "PIK3CG" 0.004347 6
"5147" "LUAD" "PIK3CG" 0 6
"5148" "LUSC" "PIK3CG" 0.047943 6
"5149" "OV" "PIK3CG" 0 6
"5152" "UCEC" "PIK3CG" 0.04571 6
"5154" "COADREAD" "PIKFYVE" 2e-06 2
"5166" "UCEC" "PIKFYVE" 0.014803 2
"5175" "LUAD" "PKD1L1" 0.022405 2
"5180" "UCEC" "PKD1L1" 0.035181 2
"5182" "COADREAD" "PKD1L2" 0.001694 6
"5186" "KIPAN" "PKD1L2" 0.000322 6
"5187" "KIRC" "PKD1L2" 0.014002 6
"5188" "LGG" "PKD1L2" 0.000537 6
"5191" "OV" "PKD1L2" 0.028912 6
"5194" "UCEC" "PKD1L2" 0.018316 6
