"nowotwor" "gen" "pvalue" "n_cancer"
"562" "COADREAD" "ARHGAP20" 0 7
"563" "GBM" "ARHGAP20" 0.004107 7
"564" "GBMLGG" "ARHGAP20" 8.3e-05 7
"569" "LUAD" "ARHGAP20" 0 7
"571" "OV" "ARHGAP20" 0 7
"574" "UCEC" "ARHGAP20" 0.042297 7
"576" "COADREAD" "ARHGAP31" 0 4
"583" "LUAD" "ARHGAP31" 0 4
"585" "OV" "ARHGAP31" 0 4
"588" "UCEC" "ARHGAP31" 0.039236 4
"592" "GBMLGG" "ARID1A" 0.023021 2
"602" "UCEC" "ARID1A" 0.000416 2
"604" "COADREAD" "ASCC3" 0 3
"612" "LUSC" "ASCC3" 0.000231 3
"616" "UCEC" "ASCC3" 0.016837 3
"621" "HNSC" "ASH1L" 0.009044 2
"630" "UCEC" "ASH1L" 0.011975 2
"632" "COADREAD" "ASPM" 0.001825 3
"633" "GBM" "ASPM" 0.023813 3
"644" "UCEC" "ASPM" 0.000927 3
"646" "COADREAD" "ASTN1" 0.000181 3
"652" "LGG" "ASTN1" 0.000403 3
"653" "LUAD" "ASTN1" 0.036014 3
"670" "STES" "ASXL1" 0.015949 1
"674" "COADREAD" "ASXL3" 0.015019 4
"678" "KIPAN" "ASXL3" 0.047814 4
"679" "KIRC" "ASXL3" 0.034795 4
"686" "UCEC" "ASXL3" 0.010555 4
"687" "BRCA" "ATG2B" 0.049383 3
"697" "OV" "ATG2B" 0 3
"700" "UCEC" "ATG2B" 0.032147 3
"702" "COADREAD" "ATM" 0.000375 4
"711" "OV" "ATM" 0.011209 4
"712" "STES" "ATM" 0.018206 4
"714" "UCEC" "ATM" 0.001757 4
"715" "BRCA" "ATP10A" 0.041219 2
"728" "UCEC" "ATP10A" 0.015756 2
"730" "COADREAD" "ATP1A2" 0 3
"741" "THCA" "ATP1A2" 0.029338 3
"742" "UCEC" "ATP1A2" 0.019483 3
"748" "KIPAN" "ATP7A" 0.010346 2
"756" "UCEC" "ATP7A" 0.021893 2
"758" "COADREAD" "ATP8A2" 0.044211 4
"764" "LGG" "ATP8A2" 0.004488 4
"765" "LUAD" "ATP8A2" 0.044047 4
"770" "UCEC" "ATP8A2" 0.017048 4
"771" "BRCA" "ATRNL1" 0.002895 6
"772" "COADREAD" "ATRNL1" 0 6
"774" "GBMLGG" "ATRNL1" 0.044561 6
"780" "LUSC" "ATRNL1" 0.030279 6
"781" "OV" "ATRNL1" 0.040233 6
"782" "STES" "ATRNL1" 0.005272 6
"787" "GBM" "ATRX" 0.027937 4
"788" "GBMLGG" "ATRX" 0 4
"789" "HNSC" "ATRX" 0.005286 4
"798" "UCEC" "ATRX" 0.004319 4
"802" "GBMLGG" "B2M" 0.005256 3
"808" "LUSC" "B2M" 0.001706 3
"810" "STES" "B2M" 0.024129 3
"826" "UCEC" "BAI3" 0.003495 1
"832" "KIPAN" "BAP1" 0.002147 2
"833" "KIRC" "BAP1" 0.037222 2
"842" "COADREAD" "BCOR" 0.018909 3
"845" "HNSC" "BCOR" 0.018488 3
"854" "UCEC" "BCOR" 0.023268 3
"868" "UCEC" "BDP1" 0.016183 1
"870" "COADREAD" "BIRC6" 2e-05 4
"871" "GBM" "BIRC6" 0.000995 4
"872" "GBMLGG" "BIRC6" 2e-06 4
"882" "UCEC" "BIRC6" 0.00046 4
"888" "KIPAN" "BOD1L" 0.03426 3
"892" "LUSC" "BOD1L" 0.003951 3
"896" "UCEC" "BOD1L" 0.017642 3
"898" "COADREAD" "BRCA2" 0.000265 3
"907" "OV" "BRCA2" 0.032813 3
"910" "UCEC" "BRCA2" 0.003706 3
"912" "COADREAD" "BRDT" 0.01547 4
"919" "LUAD" "BRDT" 0 4
"921" "OV" "BRDT" 0 4
"924" "UCEC" "BRDT" 0.04185 4
"935" "OV" "BRWD3" 0 2
"938" "UCEC" "BRWD3" 0.033262 2
"941" "GBM" "BSN" 0.037524 4
"947" "LUAD" "BSN" 0 4
"949" "OV" "BSN" 0 4
"952" "UCEC" "BSN" 0.045846 4
"954" "COADREAD" "C11orf41" 2e-05 3
"963" "OV" "C11orf41" 0 3
"966" "UCEC" "C11orf41" 0.025586 3
"968" "COADREAD" "C15orf2" 0.04829 4
"969" "GBM" "C15orf2" 0.023415 4
"970" "GBMLGG" "C15orf2" 0.000135 4
"971" "HNSC" "C15orf2" 0.031178 4
"985" "HNSC" "C20orf26" 0.038143 3
"991" "OV" "C20orf26" 0 3
"994" "UCEC" "C20orf26" 0.032825 3
"997" "GBM" "C2orf16" 6e-06 3
"998" "GBMLGG" "C2orf16" 0 3
"1008" "UCEC" "C2orf16" 0.011251 3
"1010" "COADREAD" "CACNA1E" 0 4
"1015" "KIRC" "CACNA1E" 0.020551 4
"1016" "LGG" "CACNA1E" 0.000193 4
"1022" "UCEC" "CACNA1E" 0.013113 4
"1025" "GBM" "CACNA1F" 0 7
"1026" "GBMLGG" "CACNA1F" 0.00691 7
"1027" "HNSC" "CACNA1F" 0.006325 7
"1030" "LGG" "CACNA1F" 0.011144 7
"1031" "LUAD" "CACNA1F" 0 7
"1033" "OV" "CACNA1F" 0 7
"1036" "UCEC" "CACNA1F" 0.039123 7
"1038" "COADREAD" "CACNA1G" 0.007612 5
"1041" "HNSC" "CACNA1G" 0.000164 5
"1045" "LUAD" "CACNA1G" 0 5
"1047" "OV" "CACNA1G" 0 5
"1050" "UCEC" "CACNA1G" 0.038452 5
"1058" "LGG" "CACNA1S" 0.019085 3
"1061" "OV" "CACNA1S" 0 3
"1064" "UCEC" "CACNA1S" 0.028396 3
"1075" "OV" "CACNA2D3" 0 2
"1078" "UCEC" "CACNA2D3" 0.035865 2
"1080" "COADREAD" "CAD" 0.012608 3
"1089" "OV" "CAD" 0 3
"1092" "UCEC" "CAD" 0.026647 3
"1095" "GBM" "CARD6" 0.001782 5
"1096" "GBMLGG" "CARD6" 0.000171 5
"1101" "LUAD" "CARD6" 0 5
"1103" "OV" "CARD6" 0 5
"1106" "UCEC" "CARD6" 0.049805 5
"1114" "LGG" "CASC3" 0.012212 2
"1118" "STES" "CASC3" 0.044383 2
"1131" "OV" "CCDC132" 0 2
"1134" "UCEC" "CCDC132" 0.030251 2
"1136" "COADREAD" "CCDC73" 0.01165 4
"1143" "LUAD" "CCDC73" 0 4
"1145" "OV" "CCDC73" 0 4
"1148" "UCEC" "CCDC73" 0.040155 4
"1149" "BRCA" "CCDC88A" 0.021681 2
"1162" "UCEC" "CCDC88A" 0.011521 2
"1176" "UCEC" "CCNB3" 0.013454 1
"1178" "COADREAD" "CDH10" 0.017417 3
"1181" "HNSC" "CDH10" 0.010289 3
"1190" "UCEC" "CDH10" 0.013978 3
"1191" "BRCA" "CDH8" 0.001482 4
"1196" "KIPAN" "CDH8" 0.006607 4
"1197" "KIRC" "CDH8" 0.032747 4
"1204" "UCEC" "CDH8" 0.016365 4
"1206" "COADREAD" "CDK5RAP2" 1.8e-05 6
"1210" "KIPAN" "CDK5RAP2" 0.013441 6
"1211" "KIRC" "CDK5RAP2" 0.036317 6
"1213" "LUAD" "CDK5RAP2" 0 6
"1215" "OV" "CDK5RAP2" 0 6
"1218" "UCEC" "CDK5RAP2" 0.038344 6
"1220" "COADREAD" "CELSR2" 0.006356 4
"1227" "LUAD" "CELSR2" 0 4
"1229" "OV" "CELSR2" 0 4
"1232" "UCEC" "CELSR2" 0.037583 4
"1236" "GBMLGG" "CENPE" 0.036973 4
"1237" "HNSC" "CENPE" 0.001674 4
"1243" "OV" "CENPE" 0 4
"1246" "UCEC" "CENPE" 0.032589 4
"1248" "COADREAD" "CENPF" 4e-06 4
"1251" "HNSC" "CENPF" 1e-04 4
"1256" "LUSC" "CENPF" 0.04252 4
"1260" "UCEC" "CENPF" 0.002423 4
"1264" "GBMLGG" "CEP170" 0.013343 4
"1269" "LUAD" "CEP170" 0 4
"1271" "OV" "CEP170" 0 4
"1274" "UCEC" "CEP170" 0.046713 4
"1276" "COADREAD" "CHD3" 5e-06 3
"1286" "STES" "CHD3" 0.015918 3
"1287" "THCA" "CHD3" 0.002363 3
"1302" "UCEC" "CHD6" 0.02015 1
"1308" "KIPAN" "CHD7" 0.00236 3
"1309" "KIRC" "CHD7" 0.00242 3
"1316" "UCEC" "CHD7" 0.007267 3
"1326" "LUSC" "CHD8" 0.032765 2
"1330" "UCEC" "CHD8" 0.019771 2
"1341" "OV" "CHD9" 0 2
"1344" "UCEC" "CHD9" 0.033836 2
"1348" "GBMLGG" "CIC" 1e-06 1
"1363" "HNSC" "CIT" 0.00365 5
"1368" "LUSC" "CIT" 0.040125 5
"1370" "STES" "CIT" 0.006138 5
"1371" "THCA" "CIT" 0 5
"1372" "UCEC" "CIT" 0.017892 5
"1374" "COADREAD" "CLASP1" 0 6
"1376" "GBMLGG" "CLASP1" 0.007987 6
"1380" "LGG" "CLASP1" 1e-06 6
"1381" "LUAD" "CLASP1" 0 6
"1383" "OV" "CLASP1" 0 6
"1386" "UCEC" "CLASP1" 0.037597 6
"1388" "COADREAD" "CMYA5" 0.000157 3
"1394" "LGG" "CMYA5" 0 3
"1400" "UCEC" "CMYA5" 0.0085 3
"1409" "LUAD" "CNOT1" 0 3
"1411" "OV" "CNOT1" 0 3
"1414" "UCEC" "CNOT1" 0.039428 3
"1416" "COADREAD" "CNTN4" 8e-06 3
"1425" "OV" "CNTN4" 0 3
"1428" "UCEC" "CNTN4" 0.03414 3
"1442" "UCEC" "CNTN6" 0.020892 1
"1456" "UCEC" "CNTNAP2" 0.015045 1
"1458" "COADREAD" "CNTNAP4" 2e-05 2
"1470" "UCEC" "CNTNAP4" 0.016729 2
"1472" "COADREAD" "CNTNAP5" 0 3
"1481" "OV" "CNTNAP5" 0 3
"1484" "UCEC" "CNTNAP5" 0.034992 3
"1485" "BRCA" "COL11A1" 0.016809 3
"1494" "LUSC" "COL11A1" 0.002939 3
"1495" "OV" "COL11A1" 0.001165 3
"1512" "UCEC" "COL12A1" 0.010101 1
"1521" "LUAD" "COL19A1" 0 4
