"nowotwor" "variant" "PIK3CA" "SPEN" "MAP2" "FAT3" "APOB" "TEX15" "SYNE1" "Unknown" "KIAA1409" "FLG" "TTN" "PTEN" "EGFR" "IDH1" "ATRX" "TP53" "CIC" "MUC16" "NOTCH1" "FAT1" "DNAH5" "NEB" "AHNAK" "FCGBP" "MLL2" "CDKN2A" "MUC5B" "RP1" "RELN" "VHL" "FRG1B" "PBRM1" "SETD2" "MUC6" "BAP1" "ADAM6" "MTOR" "NF1" "ADAMTS12" "MYH1" "NRXN1" "PRUNE2" "HERC2" "RIMS2" "PKD1L1" "PCDH15" "LRP1B" "KEAP1" "ZNF804B" "EPHA3" "VCAN" "COL11A1" "TAF1L" "LAMA2" "MKI67" "FAM75A6" "NALCN" "SETBP1" "ADCY2" "NLRP3" "ZNF208" "ANKRD30A" "C15orf2" "STK11" "MYH2" "SI" "ANK2" "LRFN5" "CDH18" "MUC4" "ZFHX4" "ZNF676" "MYH8" "PCLO" "CDH12" "DNAH7" "RYR3" "CDH9" "MYCBP2" "COL6A6" "RYR1" "RANBP2" "ODZ1" "BZRAP1" "TSHZ2" "ATM" "DNAH8" "LYST" "MLL3" "CASC3" "ATRNL1" "PCDH10" "MUC17" "VWF" "B2M" "HIVEP1" "LAMA3" "VPS13A" "PTPRM" "FAT4" "ODZ3" "FHOD3" "SLC32A1" "UTRN" "KRAS" "NRG1" "TAOK2" "MT-ND5" "ARID1A" "PRDM2" "KIF26B" "WDFY3" "POGZ" "FAM135B" "MLL" "TRANK1" "PTPRT" "PAPPA" "NSD1" "RBM6" "USH2A" "ZNF43" "COL12A1" "COL24A1" "KCNQ3" "MBD6" "MYST3" "ODZ4" "RAI1" "TSHZ3" "KCNH7" "PKDREJ" "PTPRJ" "TNXB" "TRHDE" "ABCC9" "GLI3" "MGAM" "MYH11" "CDH10" "JARID2" "CNTNAP2" "SACS" "MYO15A" "XYLT2" "PCDHA10" "ABCA13" "ITPR2" "LRP2" "CDHR2" "ERBB4" "HECTD1" "TECTA" "HYDIN" "VPS13B" "MYH9" "SSPO" "ARFGEF1" "SVEP1" "SORL1" "ASPM" "CNTN6" "PCDHA9" "DMD" "ZFAT" "PSME4" "PCDHB5" "DSCAM" "GCN1L1" "RP1L1" "C1orf173" "SIPA1L2" "CACNA1B" "PRDM9" "HMCN1" "STAB2" "ABCA5" "PCDH17" "PLEC" "CARD11" "DLGAP4" "NOTCH2" "CUBN" "TET1" "SON" "PDE4DIP" "IGSF10" "PCDHB7" "BCORL1" "LCT" "ALPK2" "NLGN4X" "LRRK2" "FRY" "ZC3H13" "SLITRK5" "ROS1" "USP9X" "PTPN23" "PCDHB3" "LOC643677" "DST" "HUWE1" "DNAH2" "DNAH3" "MACF1" "GPR112" "BIRC6" "CSMD1" "DNAH9" "NBEA" "FAT2" "DYNC2H1" "DCHS2" "APC" "MLL4" "BRCA2" "CSMD3" "UNC80" "OTOGL" "ITPR1" "ANK3" "HERC1" "DNAH12" "TG" "F5" "CENPF" "ZNF292" "VPS13C" "MED12" "ANKRD30B" "DMXL2" "STARD9" "WDFY4" "OBSCN" "BAI3" "ZFHX3" "SCN2A" "ZNF462" "ASH1L" "ZDBF2" "CSMD2" "DNAH14" "EYS" "MYO18B" "DOCK10" "PLCE1" "RIMS1" "CHD7" "MYH7" "CMYA5" "CUL9" "PKHD1L1" "BOD1L" "XIRP2" "LOXHD1" "KIF20B" "SPTBN1" "LOC100287226" "MYO16" "GPR98" "DNAH6" "CCNB3" "KIAA0947" "DNAH11" "TRIO" "MED13L" "AKAP9" "ASXL3" "RYR2" "AKAP6" "PPFIA2" "SETX" "SYCP2" "PIKFYVE" "PEG3" "TACC2" "HEATR7B2" "DNAH10" "FREM2" "FRAS1" "GPR158" "PKD1L2" "DNAH17" "MYOM2" "RGPD3" "ABCA12" "DOPEY1" "DOCK2" "ARAP2" "ABCB1" "FNDC1" "CCDC88A" "KIAA2026" "TLN2" "SCN1A" "NCAM2"
"1" "GBMLGG" "Missense_Mutation" "0.023" "0.003" "0.001" "0.004" "0.01" "0.005" "0.012" "0.06" "0.004" "0.025" "0.063" "0.043" "0.065" "0.014" "0.005" "0.063" "0" "0.04" "0" "0.002" "0.014" "0.004" "0.006" "0.009" "0.004" "0" "0.01" "0.005" "0.008" "0" "0.013" "0.002" "0.003" "0.001" "0.001" "0" "0.004" "0.005" "0.005" "0.005" "0.005" "0.003" "0.003" "0.008" "0.004" "0.003" "0.005" "0" "0" "0.002" "0.003" "0.002" "0.008" "0.005" "0.002" "0.003" "0.004" "0.003" "0.003" "0.005" "0.005" "0.002" "0.005" "0" "0.006" "0.002" "0.007" "0.006" "0.009" "0.011" "0.003" "0.003" "0.006" "0.019" "0.001" "0.005" "0.013" "0.006" "0.001" "0.005" "0.005" "0" "0.005" "0.001" "0.006" "0.002" "0.009" "0.003" "0.009" "0" "0.001" "0.001" "0.02" "0.005" "0" "0.002" "0.003" "0.001" "0.003" "0.003" "0.005" "0" "0" "0.004" "0.002" "0.001" "0.001" "0" "0.002" "0" "0.001" "0.004" "0" "0.002" "0.003" "0.001" "0.005" "0.002" "0.001" "0.001" "0.014" "0" "0.004" "0.003" "0" "0.001" "0" "0.005" "0.002" "0.001" "0.001" "0.003" "0.001" "0.002" "0.005" "0.009" "0.001" "0.005" "0.004" "0" "0.001" "0.012" "0.005" "0.003" "0.002" "0.003" "0.005" "0.003" "0.014" "0.001" "0" "0.001" "0.002" "0.005" "0.002" "0.002" "0.005" "0.001" "0.005" "0.001" "0.003" "0.005" "0.001" "0.01" "0.002" "0.001" "0.004" "0.001" "0.003" "0.001" "0.005" "0.004" "0.005" "0.008" "0.014" "0.002" "0.003" "0.002" "0.003" "0.005" "0.002" "0.003" "0.004" "0.001" "0.001" "0.003" "0.001" "0.005" "0.001" "0.003" "0.002" "0.002" "0.002" "0.002" "0.003" "0" "0.002" "0.001" "0" "0.001" "0" "0.005" "0.003" "0.009" "0.01" "0.007" "0.005" "0.003" "0.004" "0.006" "0.005" "0.009" "0.001" "0.005" "0.001" "0.005" "0.004" "0.005" "0" "0" "0.004" "0.002" "0.004" "0.002" "0.005" "0.005" "0.004" "0.003" "0.002" "0.004" "0.003" "0" "0" "0" "0.013" "0" "0.004" "0.001" "0.002" "0" "0.006" "0.001" "0" "0.001" "0.003" "0.001" "0.001" "0.001" "0.002" "0.002" "0.003" "0.003" "0.004" "0.004" "0.006" "0" "0.002" "0.002" "0" "0" "0.012" "0" "0.002" "0.002" "0.009" "0.002" "0.001" "0.002" "0.001" "0.024" "0.003" "0.001" "0.001" "0.002" "0.003" "0.005" "0.001" "0.009" "0.003" "0.002" "0.012" "0.001" "0.006" "0.004" "0.003" "0.003" "0" "0.001" "0.005" "0.002" "0.008" "0.003" "0.001" "0.002" "0.002" "0.003" "0"
"2" "GBMLGG" "Silent" "0" "0" "0" "0.005" "0.004" "0.003" "0.003" "0.031" "0.002" "0.013" "0.021" "0" "0.005" "0" "0.002" "0.001" "0" "0.017" "0" "0.002" "0.005" "0.002" "0.002" "0.004" "0.001" "0" "0.005" "0" "0.007" "0.001" "0.002" "0" "0" "0" "0" "0" "0" "0.001" "0.004" "0.003" "0.001" "0.001" "0.001" "0.003" "0.001" "0.001" "0.001" "0" "0.003" "0.001" "0.001" "0.001" "0.001" "0.001" "0" "0.001" "0.001" "0.002" "0" "0" "0.003" "0.001" "0.003" "0" "0.003" "0.002" "0" "0" "0" "0.002" "0.001" "0.002" "0" "0.007" "0" "0.002" "0.002" "0.002" "0" "0" "0.005" "0" "0" "0.001" "0.004" "0" "0.004" "0.003" "0.004" "0" "0.001" "0" "0.006" "0.002" "0" "0.002" "0.001" "0.001" "0" "0.001" "0.003" "0" "0.001" "0" "0" "0" "0" "0" "0.002" "0" "0" "0" "0" "0" "0.001" "0.001" "0" "0.001" "0" "0" "0.007" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0.001" "0.002" "0" "0" "0.001" "0.001" "0.002" "0.002" "0" "0.001" "0.003" "0.001" "0.003" "0.001" "0.003" "0.003" "0.002" "0.002" "0" "0" "0" "0.004" "0.002" "0.002" "0.001" "0.002" "0" "0.001" "0.001" "0.001" "0.001" "0.002" "0.001" "0.001" "0" "0.002" "0.001" "0.002" "0.003" "0" "0.002" "0.003" "0.004" "0.008" "0.002" "0" "0.001" "0.004" "0" "0.001" "0.001" "0" "0" "0.001" "0.002" "0" "0.004" "0.002" "0.002" "0.001" "0" "0.001" "0" "0" "0.001" "0" "0.001" "0" "0.002" "0" "0.003" "0.003" "0.002" "0.005" "0.002" "0.001" "0.001" "0.002" "0.001" "0" "0.002" "0.001" "0.007" "0.001" "0.002" "0.001" "0.003" "0" "0" "0" "0.002" "0" "0.001" "0.003" "0" "0.001" "0" "0.001" "0" "0.001" "0" "0" "0" "0.006" "0.001" "0" "0" "0.001" "0.001" "0.001" "0.002" "0" "0" "0.001" "0.001" "0" "0" "0.001" "0" "0.001" "0.001" "0.002" "0.001" "0.003" "0" "0" "0.002" "0" "0.002" "0.004" "0" "0" "0" "0.003" "0" "0" "0" "0" "0.006" "0" "0.001" "0" "0.002" "0" "0.001" "0" "0.002" "0.002" "0.001" "0.006" "0" "0.002" "0.002" "0" "0.002" "0.001" "0.001" "0.001" "0.001" "0" "0.002" "0" "0" "0.002" "0" "0"
"3" "GBMLGG" "Frame_Shift_Del" "0.001" "0.002" "0" "0" "0" "0" "0" "0.004" "0" "0" "0.004" "0.014" "0" "0" "0.006" "0.005" "0.001" "0.001" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.008" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.003" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.002" "0.002" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0.001" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0.001" "0.001" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0.001" "0" "0" "0.001" "0" "0" "0" "0" "0.001" "0" "0.001" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0.001" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0.002" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0.001" "0" "0.001" "0" "0" "0" "0"
"4" "GBMLGG" "Frame_Shift_Ins" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.004" "0" "0" "0" "0.001" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0.003" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0"
"5" "GBMLGG" "In_Frame_Del" "0.003" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0.001" "0.001" "0" "0.001" "0.002" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"6" "GBMLGG" "Nonsense_Mutation" "0.001" "0" "0" "0.001" "0.002" "0.002" "0.001" "0.004" "0" "0.003" "0.003" "0.014" "0.001" "0" "0.004" "0.004" "0" "0.002" "0" "0" "0.001" "0.002" "0.001" "0" "0.001" "0.001" "0" "0.001" "0.003" "0" "0.002" "0" "0.001" "0" "0" "0" "0" "0.011" "0" "0" "0" "0" "0" "0.003" "0" "0.001" "0.001" "0" "0" "0.001" "0" "0" "0" "0.001" "0.002" "0" "0" "0.001" "0" "0" "0.001" "0" "0" "0" "0.001" "0.001" "0" "0" "0" "0" "0.001" "0" "0.001" "0.001" "0" "0" "0.002" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0.001" "0" "0" "0.001" "0" "0" "0" "0" "0" "0.001" "0.001" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0.001" "0.001" "0.001" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0.001" "0" "0" "0" "0" "0.001" "0" "0.001" "0.001" "0.001" "0.002" "0.001" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0.001" "0.001" "0" "0.001" "0" "0" "0" "0" "0" "0.001" "0.001" "0" "0" "0" "0" "0.002" "0" "0" "0.001" "0" "0" "0" "0" "0.002" "0.001" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0.001" "0" "0" "0" "0" "0" "0.001" "0" "0.001" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.002" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0.001" "0"
"7" "GBMLGG" "RNA" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"8" "GBMLGG" "Splice_Site" "0.001" "0" "0" "0" "0.001" "0" "0" "0.005" "0" "0" "0" "0.006" "0" "0" "0" "0.005" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0.004" "0" "0.006" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0.002" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.002" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0.002" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"9" "GBMLGG" "In_Frame_Ins" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.001" "0" "0" "0.003" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.002" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"10" "GBMLGG" "Nonstop_Mutation" "0.001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
