"gen" "GBMLGG" "BRCA" "KIPAN" "COADREAD" "STES" "GBM" "OV" "UCEC" "KIRC" "HNSC" "LUAD" "LGG" "LUSC" "THCA"
"166" "PSME4" "0.003" "0.007" "0.005" "0.011" "0.073" "0.002" "0.003" "0.029" "0.002" "0.015" "0.021" "0.004" "0.016" "0"
"167" "PCDHB5" "0.007" "0.006" "0.003" "0.024" "0.043" "0.012" "0.007" "0.04" "0.002" "0.009" "0.017" "0.002" "0.018" "0.004"
"168" "DSCAM" "0.004" "0.019" "0.014" "0.025" "0.068" "0.003" "0.014" "0.066" "0.009" "0.036" "0.04" "0.004" "0.026" "0.008"
"169" "GCN1L1" "0.005" "0.014" "0.009" "0.016" "0.056" "0.008" "0.007" "0.031" "0.007" "0.015" "0.015" "0.002" "0.016" "0.008"
"170" "RP1L1" "0.006" "0.014" "0.019" "0.019" "0.067" "0.008" "0.014" "0.035" "0.02" "0.023" "0.092" "0.004" "0.036" "0"
"171" "C1orf173" "0.006" "0.015" "0.009" "0.024" "0.057" "0.008" "0.005" "0.026" "0.007" "0.04" "0.065" "0.004" "0.081" "0.002"
"172" "SIPA1L2" "0.008" "0.011" "0.014" "0.013" "0.064" "0.01" "0.003" "0.049" "0.015" "0.019" "0.034" "0.006" "0.032" "0.002"
"173" "CACNA1B" "0.011" "0.016" "0.005" "0.017" "0.056" "0.015" "0.002" "0.047" "0.006" "0.013" "0.033" "0.006" "0.016" "0.008"
"174" "PRDM9" "0.015" "0.005" "0.011" "0.027" "0.059" "0.024" "0.01" "0.04" "0.006" "0.042" "0.082" "0.006" "0.034" "0.006"
"175" "HMCN1" "0.033" "0.042" "0.03" "0.054" "0.18" "0.044" "0.039" "0.064" "0.034" "0.034" "0.077" "0.021" "0.05" "0.01"
"176" "STAB2" "0.008" "0.011" "0.006" "0.029" "0.065" "0.008" "0.017" "0.051" "0.007" "0.025" "0.034" "0.008" "0.06" "0.006"
"177" "ABCA5" "0.003" "0.008" "0.007" "0.016" "0.041" "0.005" "0.005" "0.029" "0.007" "0.008" "0.013" "0" "0.01" "0.006"
"178" "PCDH17" "0.004" "0.005" "0.002" "0.037" "0.091" "0.005" "0.005" "0.046" "0.002" "0.028" "0.052" "0.002" "0.036" "0"
"179" "PLEC" "0.011" "0.016" "0.022" "0.011" "0.123" "0.013" "0.007" "0.04" "0.019" "0.062" "0.04" "0.008" "0.044" "0.006"
"180" "CARD11" "0.007" "0.013" "0.009" "0.022" "0.048" "0.008" "0.005" "0.036" "0.009" "0.008" "0.031" "0.006" "0.012" "0"
"181" "DLGAP4" "0.004" "0.008" "0.001" "0.005" "0.046" "0.005" "0.005" "0.016" "0" "0.011" "0.015" "0.002" "0.008" "0.002"
"182" "NOTCH2" "0.009" "0.027" "0.021" "0.029" "0.056" "0.01" "0.01" "0.029" "0.026" "0.027" "0.019" "0.008" "0.024" "0.002"
"183" "CUBN" "0.008" "0.026" "0.028" "0.052" "0.113" "0.008" "0.015" "0.047" "0.022" "0.064" "0.054" "0.008" "0.073" "0"
"184" "TET1" "0.002" "0.013" "0.009" "0.033" "0.049" "0.002" "0.012" "0.044" "0.006" "0.015" "0.023" "0.002" "0.026" "0.002"
"185" "SON" "0.005" "0.008" "0.018" "0.017" "0.045" "0.003" "0.014" "0.04" "0.017" "0.023" "0.017" "0.008" "0.018" "0"
"186" "PDE4DIP" "0.005" "0.019" "0.022" "0.024" "0.084" "0.01" "0.014" "0.042" "0.026" "0.028" "0.042" "0" "0.06" "0.006"
"187" "IGSF10" "0.003" "0.02" "0.013" "0.025" "0.084" "0.002" "0.012" "0.038" "0.011" "0.023" "0.023" "0.004" "0.016" "0.002"
"188" "PCDHB7" "0.009" "0.014" "0.005" "0.027" "0.064" "0.017" "0.007" "0.033" "0.009" "0.027" "0.046" "0" "0.03" "0.002"
"189" "BCORL1" "0.005" "0.017" "0.012" "0.016" "0.04" "0.007" "0.014" "0.047" "0.015" "0.019" "0.038" "0.002" "0.018" "0.002"
"190" "LCT" "0.006" "0.019" "0.011" "0.027" "0.064" "0.008" "0.01" "0.044" "0.006" "0.019" "0.038" "0.004" "0.046" "0.004"
"191" "ALPK2" "0.005" "0.008" "0.012" "0.016" "0.048" "0.007" "0.01" "0.042" "0.015" "0.017" "0.046" "0.004" "0.04" "0.008"
"192" "NLGN4X" "0.003" "0.01" "0.003" "0.025" "0.045" "0.003" "0.005" "0.026" "0" "0.017" "0.044" "0.002" "0.024" "0"
"193" "LRRK2" "0.004" "0.015" "0.014" "0.033" "0.108" "0.007" "0.019" "0.047" "0.011" "0.038" "0.023" "0" "0.054" "0.002"
"194" "FRY" "0.005" "0.011" "0.009" "0.024" "0.062" "0.003" "0.008" "0.044" "0.009" "0.028" "0.029" "0.006" "0.03" "0.006"
"195" "ZC3H13" "0.004" "0.009" "0.006" "0.035" "0.072" "0.005" "0.003" "0.038" "0.006" "0.009" "0.015" "0.002" "0.01" "0.006"
"196" "SLITRK5" "0.003" "0.006" "0.005" "0.019" "0.094" "0.002" "0.003" "0.029" "0.007" "0.034" "0.031" "0.004" "0.032" "0"
"197" "ROS1" "0.006" "0.013" "0.013" "0.025" "0.048" "0.007" "0.012" "0.035" "0.015" "0.03" "0.019" "0.006" "0.048" "0.004"
"198" "USP9X" "0.006" "0.018" "0.014" "0.019" "0.049" "0.005" "0.002" "0.057" "0.011" "0.028" "0.021" "0.008" "0.018" "0.01"
"199" "PTPN23" "0.001" "0.009" "0.002" "0.008" "0.045" "0" "0" "0.018" "0.002" "0.011" "0.008" "0.002" "0.004" "0"
"200" "PCDHB3" "0.005" "0.005" "0.007" "0.024" "0.062" "0.005" "0.002" "0.038" "0.007" "0.013" "0.044" "0.006" "0.016" "0"
"201" "LOC643677" "0" "0" "0" "0" "0" "0" "0" "0.055" "0" "0" "0" "0" "0" "0"
"202" "DST" "0.012" "0.036" "0.037" "0.033" "0.124" "0.013" "0.025" "0.075" "0.041" "0.045" "0.057" "0.01" "0.036" "0.004"
"203" "HUWE1" "0.009" "0.035" "0.019" "0.032" "0.084" "0.013" "0.02" "0.057" "0.019" "0.049" "0.034" "0.004" "0.042" "0.004"
"204" "DNAH2" "0.016" "0.023" "0.017" "0.049" "0.076" "0.024" "0.012" "0.057" "0.022" "0.038" "0.027" "0.008" "0.038" "0.006"
"205" "DNAH3" "0.017" "0.025" "0.017" "0.037" "0.11" "0.029" "0.022" "0.058" "0.019" "0.036" "0.056" "0.004" "0.048" "0.004"
"206" "MACF1" "0.013" "0.034" "0.024" "0.043" "0.124" "0.02" "0.02" "0.075" "0.026" "0.045" "0.046" "0.004" "0.079" "0.006"
"207" "GPR112" "0.011" "0.019" "0.011" "0.032" "0.059" "0.01" "0.008" "0.064" "0.009" "0.032" "0.086" "0.012" "0.042" "0.004"
"208" "BIRC6" "0.004" "0.023" "0.024" "0.017" "0.075" "0.007" "0.012" "0.058" "0.019" "0.03" "0.033" "0" "0.058" "0.002"
"209" "CSMD1" "0.005" "0.035" "0.019" "0.057" "0.17" "0.01" "0.017" "0.066" "0.02" "0.061" "0.105" "0" "0.081" "0.008"
"210" "DNAH9" "0.012" "0.028" "0.018" "0.04" "0.116" "0.015" "0.01" "0.06" "0.024" "0.051" "0.082" "0.008" "0.065" "0.02"
"211" "NBEA" "0.005" "0.015" "0.012" "0.024" "0.107" "0.008" "0.015" "0.066" "0.009" "0.023" "0.036" "0.002" "0.032" "0"
"212" "FAT2" "0.021" "0.022" "0.014" "0.052" "0.116" "0.022" "0.014" "0.053" "0.015" "0.038" "0.054" "0.019" "0.034" "0.002"
"213" "DYNC2H1" "0.005" "0.021" "0.018" "0.024" "0.096" "0.005" "0.008" "0.055" "0.019" "0.019" "0.033" "0.004" "0.014" "0.004"
"214" "DCHS2" "0.014" "0.023" "0.015" "0.054" "0.104" "0.02" "0.007" "0.046" "0.015" "0.047" "0.048" "0.008" "0.038" "0"
"215" "APC" "0.003" "0.018" "0.009" "0.262" "0.099" "0.003" "0.017" "0.055" "0.011" "0.027" "0.019" "0.002" "0.018" "0.004"
"216" "MLL4" "0.007" "0.013" "0.01" "0.021" "0.045" "0.013" "0.01" "0.06" "0.009" "0.017" "0.006" "0" "0.02" "0"
"217" "BRCA2" "0.006" "0.015" "0.015" "0.021" "0.065" "0.008" "0.019" "0.046" "0.015" "0.023" "0.023" "0.004" "0.032" "0.006"
"218" "CSMD3" "0.015" "0.025" "0.026" "0.062" "0.201" "0.018" "0.036" "0.095" "0.028" "0.134" "0.172" "0.012" "0.179" "0.01"
"219" "UNC80" "0" "0.014" "0.01" "0.005" "0.024" "0" "0.002" "0.038" "0.006" "0" "0.013" "0" "0.01" "0.002"
"220" "OTOGL" "0.001" "0.019" "0.003" "0" "0.013" "0" "0" "0.046" "0" "0" "0" "0.002" "0" "0"
"221" "ITPR1" "0.007" "0.017" "0.007" "0.024" "0.049" "0.008" "0.01" "0.057" "0.004" "0.011" "0.011" "0.006" "0.014" "0.004"
"222" "ANK3" "0.007" "0.021" "0.024" "0.032" "0.1" "0.007" "0.012" "0.064" "0.024" "0.023" "0.038" "0.008" "0.032" "0.004"
"223" "HERC1" "0.007" "0.023" "0.019" "0.017" "0.073" "0.007" "0.01" "0.062" "0.019" "0.028" "0.019" "0.008" "0.026" "0.002"
"224" "DNAH12" "0.003" "0.02" "0.005" "0.006" "0.025" "0.005" "0.002" "0.033" "0.006" "0" "0.004" "0" "0.01" "0"
"225" "TG" "0.012" "0.021" "0.017" "0.037" "0.104" "0.015" "0.017" "0.057" "0.013" "0.025" "0.04" "0.008" "0.034" "0.03"
"226" "F5" "0.012" "0.018" "0.01" "0.022" "0.037" "0.015" "0.005" "0.038" "0.009" "0.025" "0.042" "0.008" "0.04" "0"
"227" "CENPF" "0.007" "0.011" "0.016" "0.029" "0.067" "0.01" "0.012" "0.044" "0.015" "0.008" "0.04" "0.004" "0.016" "0.004"
"228" "ZNF292" "0.007" "0.016" "0.009" "0.029" "0.062" "0.005" "0.007" "0.053" "0.009" "0.015" "0.025" "0.01" "0.022" "0.002"
"229" "VPS13C" "0.008" "0.017" "0.017" "0.025" "0.062" "0.005" "0.007" "0.036" "0.015" "0.03" "0.038" "0.012" "0.024" "0.002"
"230" "MED12" "0.009" "0.026" "0.005" "0.022" "0.038" "0.01" "0.003" "0.058" "0.007" "0.027" "0.033" "0.008" "0.012" "0"
"231" "ANKRD30B" "0.005" "0.013" "0.005" "0" "0.025" "0.007" "0.002" "0.047" "0.002" "0.015" "0.027" "0.004" "0" "0.002"
"232" "DMXL2" "0.002" "0.019" "0.015" "0.029" "0.056" "0" "0.012" "0.038" "0.011" "0.013" "0.017" "0.004" "0.02" "0.004"
"233" "STARD9" "0" "0.017" "0.005" "0" "0.014" "0" "0" "0.038" "0.009" "0" "0" "0" "0" "0"
"234" "WDFY4" "0" "0.016" "0.007" "0" "0.03" "0" "0" "0.047" "0.007" "0" "0" "0" "0" "0"
"235" "OBSCN" "0.03" "0.044" "0.026" "0.032" "0.17" "0.037" "0.012" "0.08" "0.009" "0.036" "0.067" "0.021" "0.054" "0.012"
"236" "BAI3" "0.002" "0.011" "0.005" "0.035" "0.094" "0.002" "0.014" "0.038" "0.006" "0.027" "0.057" "0.002" "0.052" "0.004"
"237" "ZFHX3" "0.006" "0.021" "0.021" "0.037" "0.088" "0.008" "0.008" "0.086" "0.015" "0.028" "0.029" "0.004" "0.032" "0.018"
"238" "SCN2A" "0.005" "0.021" "0.009" "0.03" "0.061" "0.002" "0.01" "0.04" "0.007" "0.013" "0.033" "0.008" "0.038" "0.002"
"239" "ZNF462" "0.004" "0.016" "0.009" "0.025" "0.059" "0.005" "0.008" "0.047" "0.007" "0.015" "0.011" "0.002" "0.024" "0.002"
"240" "ASH1L" "0.001" "0.017" "0.012" "0.027" "0.064" "0.002" "0.005" "0.047" "0.011" "0.008" "0.031" "0" "0.018" "0.006"
"241" "ZDBF2" "0.01" "0.015" "0.009" "0.027" "0.051" "0.013" "0.007" "0.033" "0.009" "0.011" "0.031" "0.006" "0.038" "0.002"
"242" "CSMD2" "0.006" "0.029" "0.016" "0.051" "0.111" "0.007" "0.014" "0.06" "0.013" "0.025" "0.075" "0.006" "0.075" "0.016"
"243" "DNAH14" "0" "0.019" "0.015" "0.005" "0.033" "0" "0" "0.033" "0.017" "0" "0" "0" "0.002" "0"
"244" "EYS" "0.001" "0.021" "0.01" "0.016" "0.078" "0.002" "0.002" "0.053" "0.015" "0" "0.044" "0" "0.026" "0"
"245" "MYO18B" "0.005" "0.019" "0.011" "0.022" "0.07" "0.007" "0.012" "0.053" "0.007" "0.03" "0.048" "0.002" "0.044" "0.004"
"246" "DOCK10" "0.003" "0.015" "0.013" "0.016" "0.053" "0.005" "0.005" "0.044" "0.017" "0.019" "0.025" "0" "0.032" "0.002"
"247" "PLCE1" "0.005" "0.016" "0.009" "0.014" "0.054" "0.003" "0.005" "0.051" "0.007" "0.028" "0.029" "0.006" "0.03" "0.004"
"248" "RIMS1" "0.002" "0.007" "0.013" "0.027" "0.083" "0.002" "0.015" "0.033" "0.013" "0.013" "0.017" "0.002" "0.034" "0.002"
"249" "CHD7" "0.004" "0.016" "0.015" "0.021" "0.08" "0.005" "0.007" "0.044" "0.019" "0.027" "0.031" "0.002" "0.048" "0.002"
"250" "MYH7" "0.002" "0.018" "0.011" "0.022" "0.062" "0.003" "0.007" "0.053" "0.007" "0.025" "0.054" "0" "0.036" "0.002"
"251" "CMYA5" "0.005" "0.023" "0.011" "0.03" "0.097" "0.007" "0.01" "0.046" "0.007" "0.03" "0.034" "0.002" "0.026" "0"
"252" "CUL9" "0.005" "0.009" "0.014" "0.024" "0.064" "0.007" "0.007" "0.046" "0.015" "0.013" "0.019" "0.002" "0.026" "0.002"
"253" "PKHD1L1" "0.01" "0.028" "0.022" "0.025" "0.102" "0.012" "0.019" "0.053" "0.03" "0.078" "0.057" "0.008" "0.087" "0.006"
"254" "BOD1L" "0.005" "0" "0.005" "0.027" "0.041" "0.008" "0.008" "0.038" "0.009" "0.017" "0.042" "0" "0.026" "0"
"255" "XIRP2" "0.011" "0.03" "0.02" "0.03" "0.135" "0.018" "0.015" "0.057" "0.02" "0.055" "0.107" "0.002" "0.089" "0.002"
"256" "LOXHD1" "0" "0.015" "0.009" "0" "0.021" "0" "0" "0.033" "0.013" "0" "0" "0" "0" "0"
"257" "KIF20B" "0.003" "0.014" "0.009" "0.025" "0.035" "0.003" "0.002" "0.042" "0.013" "0.011" "0.011" "0.002" "0.01" "0"
"258" "SPTBN1" "0.005" "0.01" "0.01" "0.017" "0.04" "0.007" "0.005" "0.047" "0.009" "0.023" "0.015" "0.004" "0.02" "0.002"
"259" "LOC100287226" "0" "0" "0" "0" "0" "0" "0" "0.04" "0" "0" "0" "0" "0" "0"
"260" "MYO16" "0.004" "0.015" "0.009" "0.033" "0.067" "0.005" "0.012" "0.044" "0.009" "0.032" "0.033" "0.002" "0.032" "0"
"261" "GPR98" "0.023" "0.029" "0.03" "0.032" "0.123" "0.03" "0.02" "0.057" "0.032" "0.055" "0.04" "0.014" "0.069" "0.012"
"262" "DNAH6" "0.002" "0.019" "0.01" "0.005" "0.024" "0.002" "0" "0.04" "0.009" "0" "0.01" "0.002" "0.01" "0.002"
"263" "CCNB3" "0.004" "0.014" "0.004" "0.011" "0.037" "0.003" "0.007" "0.036" "0.007" "0.017" "0.027" "0.004" "0.03" "0"
"264" "KIAA0947" "0.002" "0.018" "0.007" "0.016" "0.056" "0.003" "0.003" "0.042" "0.006" "0.021" "0.029" "0" "0.028" "0.004"
"265" "DNAH11" "0.016" "0.026" "0.019" "0.033" "0.111" "0.022" "0.017" "0.06" "0.017" "0.057" "0.052" "0.01" "0.087" "0"
"266" "TRIO" "0.003" "0.017" "0.01" "0.021" "0.073" "0.003" "0.005" "0.046" "0.004" "0.025" "0.031" "0.002" "0.022" "0.006"
"267" "MED13L" "0.002" "0.012" "0.005" "0.025" "0.048" "0.002" "0.005" "0.051" "0.006" "0.015" "0.027" "0.002" "0.018" "0.002"
"268" "AKAP9" "0.007" "0.023" "0.015" "0.033" "0.081" "0.008" "0.01" "0.055" "0.019" "0.04" "0.034" "0.006" "0.028" "0.004"
"269" "ASXL3" "0.003" "0.019" "0.012" "0.013" "0.073" "0.002" "0.007" "0.049" "0.013" "0.038" "0.084" "0.004" "0.038" "0"
"270" "RYR2" "0.04" "0.053" "0.021" "0.051" "0.17" "0.057" "0.029" "0.086" "0.026" "0.074" "0.182" "0.019" "0.161" "0.006"
"271" "AKAP6" "0.005" "0.015" "0.006" "0.024" "0.059" "0.005" "0.008" "0.046" "0.009" "0.023" "0.046" "0.004" "0.032" "0.002"
"272" "PPFIA2" "0.002" "0.012" "0.007" "0.014" "0.056" "0.003" "0.005" "0.047" "0.004" "0.036" "0.025" "0" "0.038" "0"
"273" "SETX" "0.004" "0.015" "0.011" "0.03" "0.054" "0.002" "0.003" "0.038" "0.011" "0.017" "0.019" "0.006" "0.022" "0.004"
"274" "SYCP2" "0.005" "0.009" "0.004" "0.016" "0.046" "0.008" "0.005" "0.036" "0.002" "0.008" "0.006" "0" "0.012" "0"
"275" "PIKFYVE" "0.005" "0.013" "0.005" "0.025" "0.038" "0.005" "0.012" "0.047" "0.006" "0.015" "0.023" "0.004" "0.028" "0"
"276" "PEG3" "0.007" "0.018" "0.014" "0.025" "0.08" "0.01" "0.014" "0.033" "0.017" "0.045" "0.059" "0.004" "0.058" "0.004"
"277" "TACC2" "0.002" "0.015" "0.003" "0.021" "0.072" "0.002" "0.01" "0.031" "0.006" "0.015" "0.033" "0.002" "0.01" "0.008"
"278" "HEATR7B2" "0.013" "0.021" "0.006" "0.013" "0.029" "0.024" "0.01" "0.042" "0.009" "0.036" "0.042" "0" "0.063" "0.002"
"279" "DNAH10" "0.009" "0.023" "0.011" "0.043" "0.108" "0.008" "0.012" "0.064" "0.015" "0.03" "0.04" "0.01" "0.05" "0.006"
"280" "FREM2" "0.005" "0.017" "0.018" "0.043" "0.088" "0.005" "0.014" "0.049" "0.017" "0.034" "0.025" "0.004" "0.03" "0"
"281" "FRAS1" "0.023" "0.021" "0.009" "0.022" "0.059" "0.034" "0.008" "0.04" "0.009" "0.025" "0.044" "0.012" "0.024" "0.002"
"282" "GPR158" "0.001" "0.006" "0.005" "0.019" "0.064" "0.002" "0.007" "0.042" "0.006" "0.023" "0.056" "0" "0.038" "0.002"
"283" "PKD1L2" "0.01" "0.016" "0.009" "0.019" "0.035" "0.015" "0.007" "0.036" "0.007" "0.023" "0.025" "0.004" "0.024" "0.004"
"284" "DNAH17" "0.007" "0.028" "0.016" "0" "0.046" "0.01" "0.014" "0.053" "0.017" "0.015" "0.011" "0.004" "0.012" "0.004"
"285" "MYOM2" "0.006" "0.014" "0.009" "0.024" "0.059" "0.005" "0.008" "0.038" "0.007" "0.015" "0.031" "0.008" "0.024" "0.006"
"286" "RGPD3" "0.006" "0.017" "0.009" "0" "0.013" "0.008" "0.002" "0.04" "0.004" "0.009" "0.021" "0.004" "0" "0"
"287" "ABCA12" "0.004" "0.016" "0.016" "0.041" "0.086" "0.003" "0.012" "0.053" "0.013" "0.025" "0.04" "0.004" "0.024" "0.002"
"288" "DOPEY1" "0.004" "0.011" "0.006" "0.019" "0.053" "0.005" "0.008" "0.035" "0.006" "0.032" "0.006" "0.002" "0.014" "0"
"289" "DOCK2" "0.007" "0.011" "0.012" "0.043" "0.084" "0.012" "0.01" "0.04" "0.011" "0.032" "0.052" "0.002" "0.046" "0.004"
"290" "ARAP2" "0.003" "0.009" "0.003" "0.022" "0.043" "0.005" "0.002" "0.031" "0.002" "0.008" "0.027" "0" "0.02" "0.002"
"291" "ABCB1" "0.013" "0.017" "0.004" "0.017" "0.053" "0.017" "0.007" "0.047" "0.007" "0.025" "0.034" "0.008" "0.028" "0"
"292" "FNDC1" "0.005" "0.015" "0.005" "0.027" "0.043" "0.008" "0.005" "0.046" "0.006" "0.017" "0.015" "0.002" "0.02" "0"
"293" "CCDC88A" "0.004" "0.012" "0.006" "0.024" "0.049" "0.003" "0.005" "0.033" "0.004" "0.013" "0.019" "0.004" "0.016" "0.002"
"294" "KIAA2026" "0.003" "0.012" "0.005" "0.016" "0.035" "0.005" "0.005" "0.038" "0.004" "0.017" "0.021" "0" "0.016" "0"
"295" "TLN2" "0.005" "0.014" "0.01" "0.025" "0.07" "0.007" "0.008" "0.031" "0.011" "0.015" "0.011" "0.004" "0.034" "0.004"
"296" "SCN1A" "0.007" "0.015" "0.012" "0.032" "0.064" "0.007" "0.012" "0.042" "0.009" "0.042" "0.036" "0.008" "0.067" "0.004"
"297" "NCAM2" "0" "0.005" "0.007" "0.025" "0.064" "0" "0.007" "0.038" "0.004" "0.021" "0.017" "0" "0.03" "0.004"
