"gen" "GBMLGG" "BRCA" "KIPAN" "COADREAD" "STES" "GBM" "OV" "UCEC" "KIRC" "HNSC" "LUAD" "LGG" "LUSC" "THCA"
"40" "MYH1" "0.009" "0.018" "0.004" "0.019" "0.051" "0.015" "0.019" "0.042" "0.006" "0.028" "0.052" "0.002" "0.046" "0.006"
"41" "NRXN1" "0.006" "0.015" "0.011" "0.043" "0.113" "0.01" "0.014" "0.044" "0.011" "0.04" "0.063" "0.002" "0.058" "0.01"
"42" "PRUNE2" "0.005" "0.026" "0.018" "0.022" "0.062" "0.007" "0.01" "0.044" "0.02" "0.025" "0.052" "0.002" "0.034" "0.002"
"43" "HERC2" "0.008" "0.029" "0.022" "0.03" "0.097" "0.01" "0.012" "0.066" "0.019" "0.04" "0.04" "0.006" "0.062" "0"
"44" "RIMS2" "0.014" "0.012" "0.006" "0.027" "0.135" "0.024" "0.012" "0.04" "0.009" "0.03" "0.059" "0.002" "0.046" "0.004"
"45" "PKD1L1" "0.008" "0.02" "0.01" "0.029" "0.064" "0.008" "0.017" "0.053" "0.007" "0.023" "0.061" "0.008" "0.022" "0.004"
"46" "PCDH15" "0.005" "0.016" "0.016" "0.038" "0.139" "0.008" "0.014" "0.06" "0.017" "0.053" "0.094" "0.002" "0.065" "0.004"
"47" "LRP1B" "0.013" "0.026" "0.026" "0.076" "0.215" "0.013" "0.022" "0.058" "0.03" "0.123" "0.153" "0.012" "0.149" "0.004"
"48" "KEAP1" "0" "0.003" "0.005" "0.006" "0.032" "0" "0.003" "0.013" "0.006" "0.025" "0.077" "0" "0.044" "0.002"
"49" "ZNF804B" "0.005" "0.011" "0.005" "0.027" "0.091" "0.005" "0.008" "0.031" "0.009" "0.04" "0.044" "0.004" "0.073" "0.002"
"50" "EPHA3" "0.007" "0.007" "0.005" "0.033" "0.056" "0.007" "0.008" "0.029" "0.004" "0.028" "0.046" "0.008" "0.034" "0"
"51" "VCAN" "0.006" "0.021" "0.018" "0.041" "0.099" "0.007" "0.015" "0.051" "0.015" "0.028" "0.05" "0.006" "0.042" "0.002"
"52" "COL11A1" "0.004" "0.009" "0.011" "0.03" "0.102" "0.005" "0.01" "0.057" "0.013" "0.061" "0.082" "0.002" "0.081" "0.002"
"53" "TAF1L" "0.012" "0.02" "0.007" "0.032" "0.053" "0.017" "0" "0.049" "0.006" "0.032" "0.065" "0.006" "0.044" "0.004"
"54" "LAMA2" "0.011" "0.017" "0.011" "0.033" "0.067" "0.013" "0.015" "0.058" "0.013" "0.057" "0.048" "0.008" "0.058" "0.004"
"55" "MKI67" "0.009" "0.014" "0.015" "0.032" "0.07" "0.01" "0.008" "0.066" "0.013" "0.025" "0.056" "0.008" "0.026" "0.002"
"56" "FAM75A6" "0.004" "0.009" "0.001" "0" "0" "0.007" "0" "0.016" "0.002" "0.03" "0.054" "0" "0" "0"
"57" "NALCN" "0.005" "0.017" "0.01" "0.038" "0.099" "0.008" "0.014" "0.04" "0.013" "0.027" "0.069" "0" "0.04" "0.004"
"58" "SETBP1" "0.007" "0.009" "0.012" "0.019" "0.081" "0.01" "0" "0.031" "0.015" "0.021" "0.061" "0.004" "0.02" "0.004"
"59" "ADCY2" "0.004" "0.01" "0.009" "0.033" "0.059" "0.005" "0.014" "0.031" "0.007" "0.032" "0.044" "0.002" "0.032" "0.002"
"60" "NLRP3" "0.007" "0.009" "0.005" "0.019" "0.038" "0.008" "0.01" "0.031" "0.004" "0.021" "0.065" "0.006" "0.034" "0.002"
